iter	Passed	Remaining
539	780	664
540	781	663
541	782	661
542	783	659
543	784	657
544	785	656
545	787	654
546	788	652
547	789	651
548	790	649
549	791	647
550	792	646
551	793	644
552	795	642
553	796	641
554	797	639
555	798	637
556	799	635
557	800	634
558	801	632
559	803	631
560	804	629
561	805	627
562	806	625
563	807	624
564	808	622
565	809	620
566	811	619
567	812	617
568	813	616
569	814	614
570	815	612
571	816	611
572	817	609
573	819	607
574	820	606
575	821	604
576	822	602
577	823	601
578	824	599
579	825	597
580	826	596
581	828	594
582	829	593
583	830	591
584	831	589
585	832	588
586	833	586
587	834	585
588	836	583
589	837	581
590	838	580
591	839	578
592	840	576
593	841	575
594	843	573
595	844	572
596	845	570
597	846	568
598	847	567
599	848	565
600	849	564
601	850	562
602	852	560
603	853	559
604	854	557
605	855	556
606	856	554
607	857	553
608	858	551
609	860	549
610	861	548
611	862	546
612	863	545
613	864	543
614	865	542
615	867	540
616	868	538
617	869	537
618	870	535
619	871	534
620	872	532
621	874	531
622	875	529
623	876	528
624	877	526
625	878	524
626	879	523
627	880	521
628	881	520
629	882	518
630	884	516
631	885	515
632	886	513
633	887	512
634	888	510
635	889	509
636	890	507
637	892	506
638	893	504
639	894	503
640	895	501
641	896	499
642	897	498
643	898	496
644	900	495
645	901	493
646	902	492
647	903	490
648	904	489
649	905	487
650	906	486
651	908	484
652	909	483
653	910	481
654	911	480
655	912	478
656	913	477
657	914	475
658	916	474
659	917	472
660	918	470
661	919	469
662	920	467
663	921	466
664	923	464
665	924	463
666	925	461
667	926	460
668	927	458
669	928	457
670	930	456
671	931	454
672	932	453
673	933	451
674	934	450
675	935	448
676	936	447
677	938	445
678	939	444
679	940	442
680	941	441
681	942	439
682	943	438
683	944	436
684	946	435
685	947	433
686	948	432
687	949	430
688	950	429
689	951	427
690	953	426
691	954	424
692	955	423
693	956	421
694	958	420
695	959	419
696	960	417
697	961	416
698	962	414
699	964	413
700	965	411
701	966	410
702	967	408
703	969	407
704	970	405
705	970	404
706	972	402
707	973	401
708	974	399
709	975	398
710	976	397
711	977	395
712	979	394
713	980	392
714	981	391
715	982	389
716	983	388
717	984	386
718	986	385
719	987	383
720	988	382
721	989	381
722	990	379
723	992	378
724	993	376
725	994	375
726	995	373
727	996	372
728	998	371
729	999	369
730	1000	368
731	1001	366
732	1003	365
733	1004	363
734	1005	362
735	1006	361
736	1008	359
737	1009	358
738	1010	356
739	1012	355
740	1013	354
741	1014	352
742	1016	351
743	1017	350
744	1018	348
745	1019	347
746	1021	345
747	1022	344
748	1023	342
749	1024	341
750	1025	340
751	1026	338
752	1028	337
753	1029	335
754	1030	334
755	1031	333
756	1032	331
757	1034	330
758	1035	328
759	1036	327
760	1037	325
761	1039	324
762	1040	323
763	1042	321
764	1043	320
765	1044	319
766	1046	317
767	1047	316
768	1048	315
769	1049	313
770	1051	312
771	1052	310
772	1053	309
773	1054	307
774	1055	306
775	1056	305
776	1058	303
777	1059	302
778	1060	300
779	1061	299
780	1062	298
781	1063	296
782	1065	295
783	1066	293
784	1067	292
785	1068	291
786	1070	289
787	1071	288
788	1072	286
789	1073	285
790	1074	284
791	1076	282
792	1077	281
793	1078	279
794	1079	278
795	1080	276
796	1081	275
797	1082	274
798	1084	272
799	1085	271
800	1086	269
801	1087	268
802	1089	267
803	1090	265
804	1091	264
805	1092	263
806	1093	261
807	1095	260
808	1096	258
809	1097	257
810	1098	256
811	1100	254
812	1101	253
813	1102	251
814	1103	250
815	1105	249
816	1106	247
817	1107	246
818	1108	245
819	1109	243
820	1110	242
821	1112	240
822	1113	239
823	1114	238
824	1115	236
825	1116	235
826	1117	233
827	1118	232
828	1120	231
829	1121	229
830	1122	228
831	1124	226
832	1125	225
833	1126	224
834	1127	222
835	1128	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1134	214
841	1136	213
842	1137	211
843	1138	210
844	1139	209
845	1140	207
846	1141	206
847	1142	204
848	1144	203
849	1145	202
850	1146	200
851	1147	199
852	1148	197
853	1149	196
854	1151	195
855	1152	193
856	1153	192
857	1154	191
858	1155	189
859	1157	188
860	1158	186
861	1159	185
862	1160	184
863	1161	182
864	1163	181
865	1164	180
866	1165	178
867	1166	177
868	1167	176
869	1169	174
870	1170	173
871	1171	171
872	1172	170
873	1174	169
874	1175	167
875	1176	166
876	1177	165
877	1178	163
878	1179	162
879	1180	161
880	1182	159
881	1183	158
882	1184	156
883	1185	155
884	1186	154
885	1187	152
886	1189	151
887	1190	150
888	1191	148
889	1192	147
890	1193	146
891	1195	144
892	1196	143
893	1197	141
894	1198	140
895	1199	139
896	1201	137
897	1202	136
898	1203	135
899	1204	133
900	1205	132
901	1206	131
902	1207	129
903	1209	128
904	1210	127
905	1211	125
906	1212	124
907	1213	122
908	1214	121
909	1215	120
910	1217	118
911	1218	117
912	1219	116
913	1220	114
914	1221	113
915	1222	112
916	1223	110
917	1224	109
918	1226	108
919	1227	106
920	1228	105
921	1229	104
922	1230	102
923	1231	101
924	1232	99
925	1234	98
926	1235	97
927	1236	95
928	1237	94
929	1238	93
930	1239	91
931	1240	90
932	1242	89
933	1243	87
934	1244	86
935	1245	85
936	1246	83
937	1247	82
938	1248	81
939	1249	79
940	1250	78
941	1251	77
942	1252	75
943	1254	74
944	1255	73
945	1256	71
946	1257	70
947	1258	69
948	1259	67
949	1261	66
950	1262	65
951	1263	63
952	1264	62
953	1265	61
954	1266	59
955	1267	58
956	1269	57
957	1270	55
958	1271	54
959	1272	53
960	1273	51
961	1274	50
962	1276	49
963	1277	47
964	1278	46
965	1279	45
966	1280	43
967	1281	42
968	1282	41
969	1284	39
970	1285	38
971	1286	37
972	1287	35
973	1288	34
974	1290	33
975	1291	31
976	1292	30
977	1293	29
978	1294	27
979	1295	26
980	1297	25
981	1299	23
982	1301	22
983	1303	21
984	1305	19
985	1306	18
986	1307	17
987	1309	15
988	1310	14
989	1311	13
990	1313	11
991	1314	10
992	1315	9
993	1316	7
994	1317	6
995	1318	5
996	1319	3
997	1320	2
998	1321	1
999	1322	0
